department,diagnosis_category,insurance_category,year,total_encounters,avg_los,max_los,min_los,total_deaths,mortality_rate_pct,inpatient_count,outpatient_count,emergency_count,short_stay_count,long_stay_count
Emergency,Cardiovascular,Private,2024.0,94,7.5,15,1,21,22.34,29,30,35,21,47
Emergency,Mental Health,Government,2023.0,41,8.4,15,1,10,24.39,16,12,13,9,22
Orthopedics,Renal,Private,2025.0,27,7.3,15,1,6,22.22,9,11,7,6,12
General Medicine,Renal,Government,2026.0,28,9.1,15,1,2,7.14,13,8,7,5,21
Emergency,Musculoskeletal,Self-Pay,2025.0,33,7.9,15,1,9,27.27,14,9,10,7,19
Orthopedics,Respiratory,Private,2025.0,47,8.4,15,1,8,17.02,16,18,13,7,25
Oncology,Renal,Government,2024.0,57,7.9,15,1,7,12.28,11,22,24,11,30
Orthopedics,Mental Health,Government,2024.0,66,8.2,15,1,12,18.18,18,21,27,9,33
Oncology,Musculoskeletal,Self-Pay,2024.0,38,7.0,15,1,5,13.16,13,14,11,11,15
Cardiology,Musculoskeletal,Private,2025.0,22,7.8,15,1,2,9.09,4,7,11,5,13
Neurology,Musculoskeletal,Government,2023.0,34,8.9,15,1,6,17.65,11,15,8,6,22
Neurology,Renal,Private,2024.0,25,7.5,15,2,2,8.0,6,11,8,3,10
Neurology,Musculoskeletal,Private,2026.0,10,6.9,14,1,2,20.0,2,2,6,2,4
General Medicine,Respiratory,Private,2024.0,55,7.8,15,1,11,20.0,14,19,22,14,31
Cardiology,Mental Health,Self-Pay,2024.0,22,7.5,15,1,8,36.36,7,8,7,4,13
Neurology,Respiratory,Government,2025.0,105,7.3,15,1,18,17.14,25,40,40,19,45
Neurology,Cardiovascular,Private,2024.0,84,7.3,15,1,22,26.19,30,23,31,25,38
General Medicine,Preventive,Government,2026.0,16,8.9,15,1,2,12.5,6,1,9,2,9
Cardiology,Respiratory,Government,2025.0,120,7.7,15,1,23,19.17,40,39,41,25,62
Cardiology,Respiratory,Self-Pay,2025.0,45,8.3,15,2,4,8.89,19,17,9,5,23
Oncology,Preventive,Self-Pay,2024.0,26,6.8,14,1,7,26.92,13,6,7,7,13
Neurology,Preventive,Government,2023.0,35,8.8,15,1,4,11.43,12,15,8,6,22
Oncology,Renal,Self-Pay,2023.0,13,7.6,15,2,5,38.46,5,5,3,3,8
Oncology,Respiratory,Government,2025.0,102,8.3,15,1,20,19.61,29,40,33,18,57
General Medicine,Mental Health,Government,2026.0,20,8.2,15,1,2,10.0,5,8,7,5,11
General Medicine,Mental Health,Government,2024.0,65,7.8,15,1,12,18.46,24,22,19,16,33
General Medicine,Endocrine,Private,2026.0,15,7.9,15,1,2,13.33,8,3,4,2,8
Neurology,Respiratory,Self-Pay,2023.0,38,6.7,15,1,6,15.79,13,14,11,9,14
General Medicine,Cardiovascular,Government,2026.0,63,8.2,15,1,17,26.98,23,22,18,12,31
Cardiology,Endocrine,Government,2024.0,57,7.1,14,1,8,14.04,18,18,21,13,28
Oncology,Renal,Private,2025.0,31,8.4,15,1,9,29.03,9,6,16,4,18
Neurology,Renal,Government,2026.0,19,5.6,11,1,1,5.26,4,6,9,6,6
Emergency,Preventive,Self-Pay,2025.0,21,7.7,15,1,3,14.29,5,7,9,5,10
Emergency,Musculoskeletal,Private,2023.0,11,8.0,15,2,5,45.45,6,0,5,3,6
Emergency,Cardiovascular,Government,2023.0,122,8.1,15,1,32,26.23,53,38,31,24,65
Emergency,Respiratory,Self-Pay,2025.0,51,8.0,15,1,7,13.73,14,16,21,11,29
General Medicine,Cardiovascular,Private,2024.0,82,8.0,15,1,16,19.51,32,22,28,14,39
Oncology,Respiratory,Government,2023.0,70,7.8,15,1,19,27.14,32,17,21,17,34
Emergency,Mental Health,Private,2024.0,38,7.7,15,1,13,34.21,15,10,13,6,19
Orthopedics,Mental Health,Private,2026.0,10,9.6,15,4,2,20.0,4,3,3,0,7
Emergency,Respiratory,Private,2023.0,39,6.9,14,1,6,15.38,11,14,14,10,18
Oncology,Mental Health,Self-Pay,2023.0,10,7.9,14,1,0,0.0,3,2,5,3,5
Neurology,Renal,Self-Pay,2023.0,17,9.5,15,1,4,23.53,4,5,8,2,13
Oncology,Musculoskeletal,Private,2025.0,30,8.1,14,1,4,13.33,10,7,13,6,18
Neurology,Endocrine,Government,2026.0,24,9.2,15,1,2,8.33,11,5,8,2,17
Orthopedics,Mental Health,Private,2025.0,22,8.5,13,3,5,22.73,9,9,4,1,13
Neurology,Renal,Private,2023.0,22,7.5,15,1,5,22.73,7,9,6,8,11
Neurology,Musculoskeletal,Self-Pay,2025.0,18,9.6,15,2,4,22.22,7,4,7,1,13
General Medicine,Respiratory,Government,2023.0,71,9.1,15,1,16,22.54,16,30,25,12,47
Orthopedics,Mental Health,Government,2026.0,18,9.7,15,2,3,16.67,6,6,6,2,14
Oncology,Mental Health,Private,2024.0,25,7.6,14,2,6,24.0,8,12,5,4,13
Emergency,Renal,Government,2025.0,50,8.1,15,1,11,22.0,14,16,20,13,26
Oncology,Endocrine,Government,2025.0,53,8.3,15,1,11,20.75,16,14,23,9,31
Emergency,Respiratory,Government,2023.0,52,8.5,15,1,10,19.23,12,19,21,7,30
Oncology,Renal,Private,2023.0,18,7.9,15,1,3,16.67,6,5,7,3,8
Neurology,Renal,Private,2026.0,8,5.1,13,1,0,0.0,0,3,5,4,2
Orthopedics,Musculoskeletal,Government,2026.0,20,8.7,15,1,5,25.0,5,8,7,3,11
Emergency,Renal,Private,2026.0,4,9.5,12,7,2,50.0,2,2,0,0,3
Orthopedics,Preventive,Private,2026.0,9,7.2,15,2,2,22.22,2,5,2,2,3
General Medicine,Mental Health,Government,2023.0,37,6.8,15,1,8,21.62,12,15,10,9,14
Cardiology,Renal,Government,2023.0,29,8.4,15,1,9,31.03,12,7,10,5,15
Cardiology,Respiratory,Private,2026.0,29,7.7,15,1,10,34.48,10,10,9,6,13
Neurology,Respiratory,Private,2026.0,25,8.4,15,1,2,8.0,15,7,3,7,15
General Medicine,Mental Health,Private,2023.0,15,10.1,15,1,2,13.33,4,5,6,2,11
Emergency,Mental Health,Private,2025.0,25,9.4,15,1,4,16.0,9,6,10,2,18
Oncology,Preventive,Self-Pay,2026.0,10,9.5,15,2,2,20.0,2,6,2,2,6
General Medicine,Cardiovascular,Self-Pay,2023.0,53,8.4,15,1,12,22.64,18,18,17,7,29
Oncology,Endocrine,Self-Pay,2023.0,27,8.3,15,1,3,11.11,11,11,5,4,15
Emergency,Respiratory,Private,2024.0,63,7.9,15,1,16,25.4,27,23,13,13,34
Cardiology,Renal,Government,2026.0,21,8.6,15,1,3,14.29,10,5,6,5,12
Neurology,Cardiovascular,Private,2026.0,23,7.4,15,1,3,13.04,13,5,5,5,11
Oncology,Mental Health,Private,2023.0,19,6.8,15,1,1,5.26,3,6,10,6,6
Neurology,Cardiovascular,Self-Pay,2025.0,92,7.6,15,1,28,30.43,34,30,28,18,45
General Medicine,Preventive,Government,2024.0,58,8.0,15,1,12,20.69,19,21,18,9,32
Cardiology,Endocrine,Government,2023.0,32,7.6,15,1,8,25.0,11,8,13,4,13
General Medicine,Renal,Self-Pay,2024.0,18,8.5,15,2,3,16.67,7,5,6,2,11
Neurology,Respiratory,Self-Pay,2025.0,56,8.6,15,1,11,19.64,19,13,24,7,30
Emergency,Cardiovascular,Self-Pay,2024.0,93,8.6,15,1,20,21.51,36,39,18,12,53
Oncology,Endocrine,Private,2026.0,6,7.5,13,4,2,33.33,3,0,3,0,2
Neurology,Mental Health,Self-Pay,2025.0,38,8.5,15,1,9,23.68,14,7,17,7,24
General Medicine,Renal,Private,2026.0,12,8.4,15,1,3,25.0,6,4,2,3,9
Orthopedics,Musculoskeletal,Self-Pay,2023.0,24,8.4,15,1,9,37.5,11,6,7,3,15
Neurology,Respiratory,Private,2024.0,57,8.4,15,1,10,17.54,19,23,15,13,33
Oncology,Preventive,Government,2024.0,61,8.8,15,1,9,14.75,13,28,20,7,32
Orthopedics,Renal,Government,2024.0,56,9.2,15,1,13,23.21,22,21,13,9,36
Neurology,Respiratory,Government,2024.0,103,7.5,15,1,21,20.39,30,29,44,23,46
Oncology,Endocrine,Government,2026.0,20,8.7,15,1,4,20.0,7,6,7,5,12
Neurology,Renal,Government,2025.0,65,8.0,15,1,8,12.31,24,24,17,13,32
Orthopedics,Endocrine,Private,2024.0,23,9.3,15,1,6,26.09,7,3,13,4,16
Neurology,Cardiovascular,Private,2025.0,77,8.1,15,1,19,24.68,31,22,24,15,41
Neurology,Mental Health,Self-Pay,2023.0,21,6.6,14,1,2,9.52,10,6,5,6,9
Orthopedics,Musculoskeletal,Government,2024.0,49,7.4,15,1,11,22.45,16,19,14,13,21
Emergency,Mental Health,Government,2025.0,52,8.3,15,1,8,15.38,16,19,17,6,27
Cardiology,Musculoskeletal,Government,2025.0,59,8.2,15,1,11,18.64,25,15,19,11,32
Emergency,Musculoskeletal,Government,2024.0,53,7.2,15,1,14,26.42,16,23,14,15,23
Oncology,Renal,Self-Pay,2025.0,35,8.5,15,2,6,17.14,9,14,12,3,20
Oncology,Mental Health,Self-Pay,2025.0,19,6.5,15,2,6,31.58,6,6,7,5,6
General Medicine,Musculoskeletal,Private,2026.0,9,7.9,15,1,0,0.0,3,2,4,1,5
General Medicine,Renal,Government,2023.0,37,7.7,15,1,9,24.32,8,13,16,7,17
Oncology,Preventive,Private,2024.0,39,8.2,15,1,4,10.26,10,16,13,4,22
Orthopedics,Mental Health,Government,2025.0,64,7.5,15,1,13,20.31,18,22,24,15,33
General Medicine,Respiratory,Self-Pay,2024.0,55,8.1,15,1,14,25.45,19,11,25,12,32
Neurology,Endocrine,Private,2024.0,27,8.3,15,1,3,11.11,8,11,8,5,16
General Medicine,Mental Health,Self-Pay,2024.0,32,8.0,15,2,8,25.0,11,8,13,7,17
Cardiology,Respiratory,Private,2025.0,63,7.6,15,1,10,15.87,21,23,19,16,32
Oncology,Respiratory,Private,2025.0,51,8.0,15,1,9,17.65,12,14,25,11,27
Cardiology,Mental Health,Private,2023.0,13,7.5,14,2,2,15.38,3,6,4,2,5
General Medicine,Cardiovascular,Government,2025.0,177,8.1,15,1,46,25.99,52,64,61,38,97
Oncology,Cardiovascular,Government,2023.0,113,7.4,15,1,22,19.47,42,40,31,31,57
Cardiology,Respiratory,Self-Pay,2024.0,65,7.8,15,1,14,21.54,18,21,26,13,34
Orthopedics,Preventive,Private,2025.0,31,9.0,15,1,4,12.9,9,7,15,7,19
General Medicine,Musculoskeletal,Government,2025.0,63,9.5,15,1,15,23.81,21,18,24,6,42
Cardiology,Mental Health,Self-Pay,2025.0,30,7.8,15,1,4,13.33,10,8,12,8,17
Neurology,Respiratory,Private,2023.0,37,7.7,15,1,9,24.32,13,11,13,10,16
Neurology,Cardiovascular,Government,2025.0,160,7.9,15,1,26,16.25,52,53,55,30,88
Emergency,Respiratory,Self-Pay,2024.0,54,8.5,15,1,5,9.26,19,17,18,8,30
Orthopedics,Cardiovascular,Self-Pay,2026.0,28,7.6,14,1,11,39.29,13,6,9,3,15
Cardiology,Renal,Private,2024.0,25,7.2,13,1,3,12.0,7,10,8,5,12
Cardiology,Musculoskeletal,Self-Pay,2023.0,33,8.5,15,1,8,24.24,10,10,13,7,19
Emergency,Endocrine,Self-Pay,2025.0,36,8.1,15,1,3,8.33,9,10,17,5,18
Orthopedics,Endocrine,Self-Pay,2023.0,26,6.5,13,1,6,23.08,10,9,7,10,11
Orthopedics,Renal,Government,2025.0,62,7.7,15,1,16,25.81,18,25,19,15,32
Orthopedics,Renal,Self-Pay,2023.0,15,8.2,15,1,1,6.67,6,5,4,1,8
Cardiology,Cardiovascular,Private,2024.0,80,7.1,15,1,20,25.0,25,33,22,19,36
Cardiology,Preventive,Private,2023.0,19,8.2,14,1,3,15.79,3,4,12,4,11
Neurology,Musculoskeletal,Self-Pay,2026.0,5,8.4,12,1,0,0.0,2,0,3,1,4
Orthopedics,Preventive,Self-Pay,2026.0,7,7.1,15,1,3,42.86,2,2,3,3,3
Orthopedics,Cardiovascular,Private,2026.0,36,7.6,15,1,3,8.33,16,6,14,4,19
Orthopedics,Cardiovascular,Self-Pay,2025.0,84,7.5,15,1,12,14.29,34,24,26,17,43
Cardiology,Cardiovascular,Private,2023.0,68,7.5,15,1,11,16.18,25,20,23,17,32
Emergency,Musculoskeletal,Government,2026.0,28,6.9,14,1,9,32.14,5,17,6,7,12
Neurology,Cardiovascular,Self-Pay,2026.0,20,8.1,14,2,5,25.0,7,5,8,3,11
General Medicine,Musculoskeletal,Private,2023.0,17,6.9,15,1,4,23.53,4,6,7,6,7
General Medicine,Mental Health,Self-Pay,2025.0,26,8.0,15,1,6,23.08,12,9,5,7,14
General Medicine,Preventive,Government,2025.0,53,7.8,15,1,13,24.53,15,15,23,14,27
General Medicine,Renal,Private,2024.0,26,6.7,14,1,1,3.85,7,10,9,8,10
Orthopedics,Renal,Private,2023.0,17,7.4,15,1,4,23.53,7,8,2,3,7
Oncology,Preventive,Self-Pay,2023.0,26,7.7,15,1,7,26.92,12,7,7,4,14
General Medicine,Endocrine,Self-Pay,2023.0,20,7.0,15,1,3,15.0,3,9,8,5,8
Oncology,Musculoskeletal,Government,2024.0,56,8.7,15,1,12,21.43,14,18,24,6,35
Oncology,Endocrine,Government,2023.0,26,7.9,14,1,8,30.77,10,4,12,8,15
Cardiology,Renal,Self-Pay,2024.0,23,9.0,15,3,5,21.74,5,13,5,1,14
Orthopedics,Endocrine,Private,2023.0,22,8.0,15,1,4,18.18,8,6,8,4,10
Neurology,Preventive,Private,2024.0,29,7.9,15,1,8,27.59,11,10,8,7,14
Emergency,Preventive,Private,2025.0,22,8.0,15,1,4,18.18,8,7,7,5,12
General Medicine,Mental Health,Private,2024.0,20,7.6,15,1,4,20.0,10,2,8,4,8
Cardiology,Cardiovascular,Self-Pay,2025.0,93,7.6,15,1,21,22.58,28,37,28,20,42
Orthopedics,Preventive,Self-Pay,2023.0,13,8.6,15,4,2,15.38,3,7,3,0,6
General Medicine,Cardiovascular,Private,2025.0,72,8.3,15,1,12,16.67,21,19,32,19,41
Cardiology,Renal,Government,2025.0,53,8.2,15,1,8,15.09,16,18,19,10,26
Oncology,Mental Health,Self-Pay,2026.0,8,9.9,14,5,1,12.5,1,4,3,0,5
General Medicine,Renal,Government,2025.0,75,7.8,15,1,14,18.67,25,23,27,15,38
Oncology,Endocrine,Private,2025.0,30,7.4,15,1,4,13.33,9,10,11,9,16
General Medicine,Preventive,Self-Pay,2025.0,35,7.7,14,1,7,20.0,12,11,12,10,21
Oncology,Mental Health,Government,2023.0,38,8.5,15,2,6,15.79,18,7,13,9,23
Oncology,Respiratory,Private,2024.0,61,8.4,15,1,11,18.03,21,20,20,7,36
Emergency,Endocrine,Government,2026.0,21,7.8,15,1,5,23.81,8,9,4,4,9
Orthopedics,Musculoskeletal,Private,2023.0,18,10.1,15,4,8,44.44,9,6,3,0,13
General Medicine,Musculoskeletal,Private,2025.0,32,7.6,15,1,7,21.88,12,9,11,7,16
Emergency,Renal,Government,2023.0,35,8.8,15,1,5,14.29,12,14,9,9,20
Oncology,Respiratory,Private,2023.0,33,8.0,15,1,10,30.3,13,7,13,6,15
General Medicine,Preventive,Government,2023.0,49,7.9,14,1,8,16.33,12,25,12,6,25
General Medicine,Musculoskeletal,Government,2024.0,52,7.6,15,1,7,13.46,15,19,18,14,25
Orthopedics,Preventive,Self-Pay,2024.0,24,7.6,14,1,9,37.5,5,6,13,2,11
General Medicine,Renal,Self-Pay,2026.0,9,8.3,14,2,3,33.33,2,6,1,3,5
Emergency,Renal,Private,2023.0,16,9.2,15,1,5,31.25,6,3,7,4,10
Emergency,Endocrine,Self-Pay,2026.0,3,7.7,10,6,0,0.0,1,1,1,0,1
Cardiology,Respiratory,Self-Pay,2026.0,19,8.0,14,1,2,10.53,9,5,5,3,10
Cardiology,Respiratory,Private,2024.0,44,8.4,15,1,9,20.45,12,17,15,8,26
Oncology,Cardiovascular,Private,2024.0,86,8.2,15,1,16,18.6,31,31,24,19,47
Cardiology,Musculoskeletal,Self-Pay,2025.0,33,8.6,15,1,7,21.21,18,8,7,4,22
Neurology,Musculoskeletal,Government,2026.0,17,7.4,13,1,5,29.41,5,4,8,3,8
General Medicine,Cardiovascular,Government,2024.0,144,8.2,15,1,29,20.14,43,44,57,28,77
Oncology,Renal,Government,2025.0,50,7.6,15,1,4,8.0,15,16,19,12,27
Emergency,Preventive,Government,2025.0,54,8.5,15,1,12,22.22,23,16,15,8,29
General Medicine,Respiratory,Self-Pay,2023.0,35,7.2,14,1,14,40.0,12,8,15,8,16
Cardiology,Musculoskeletal,Self-Pay,2026.0,8,7.5,15,3,1,12.5,1,3,4,2,5
Oncology,Preventive,Self-Pay,2025.0,26,9.0,15,1,8,30.77,12,7,7,3,17
Neurology,Mental Health,Self-Pay,2026.0,5,5.0,15,1,1,20.0,0,1,4,3,1
Oncology,Respiratory,Self-Pay,2026.0,16,9.3,15,2,3,18.75,6,6,4,2,11
General Medicine,Respiratory,Private,2023.0,37,9.3,15,1,8,21.62,15,14,8,2,23
Oncology,Renal,Government,2026.0,13,7.6,15,1,4,30.77,7,2,4,2,6
General Medicine,Renal,Private,2025.0,19,7.4,15,1,3,15.79,4,9,6,4,10
Cardiology,Preventive,Government,2023.0,36,8.9,15,1,6,16.67,9,11,16,7,23
Cardiology,Endocrine,Private,2023.0,21,8.0,15,2,5,23.81,6,5,10,3,11
Orthopedics,Endocrine,Private,2026.0,12,7.8,12,1,3,25.0,4,2,6,2,6
Oncology,Cardiovascular,Private,2025.0,80,8.4,15,1,12,15.0,25,31,24,14,48
Cardiology,Mental Health,Government,2024.0,53,8.6,15,1,10,18.87,17,21,15,10,31
Emergency,Mental Health,Government,2024.0,49,7.8,15,1,8,16.33,14,16,19,10,25
General Medicine,Respiratory,Self-Pay,2025.0,49,8.1,15,1,11,22.45,11,14,24,11,25
Orthopedics,Mental Health,Private,2023.0,14,9.4,15,2,2,14.29,6,1,7,2,10
Emergency,Mental Health,Self-Pay,2024.0,29,7.5,15,1,3,10.34,8,7,14,7,13
Emergency,Respiratory,Private,2026.0,21,7.3,14,1,2,9.52,8,4,9,3,8
Neurology,Mental Health,Government,2023.0,29,7.9,15,1,3,10.34,10,12,7,8,16
Oncology,Mental Health,Government,2026.0,21,7.5,14,1,6,28.57,2,10,9,5,12
Cardiology,Mental Health,Self-Pay,2026.0,13,5.8,14,1,4,30.77,4,7,2,4,4
Cardiology,Endocrine,Private,2024.0,24,9.8,15,1,5,20.83,5,11,8,3,15
General Medicine,Respiratory,Self-Pay,2026.0,20,8.1,15,1,3,15.0,7,6,7,4,9
Emergency,Mental Health,Self-Pay,2025.0,27,9.9,15,4,5,18.52,9,8,10,0,21
General Medicine,Cardiovascular,Self-Pay,2025.0,72,8.6,15,1,7,9.72,23,22,27,14,41
Cardiology,Musculoskeletal,Private,2023.0,7,6.3,13,1,1,14.29,1,5,1,2,2
Orthopedics,Musculoskeletal,Private,2025.0,34,7.8,15,2,10,29.41,9,11,14,3,17
Neurology,Renal,Government,2023.0,35,8.3,15,1,8,22.86,14,10,11,5,20
Neurology,Preventive,Private,2025.0,28,7.9,14,1,6,21.43,7,6,15,8,15
Neurology,Mental Health,Private,2026.0,9,9.9,15,1,1,11.11,3,4,2,1,6
General Medicine,Renal,Self-Pay,2023.0,22,8.0,15,1,6,27.27,9,8,5,7,11
General Medicine,Musculoskeletal,Private,2024.0,30,7.1,15,1,6,20.0,6,12,12,7,15
Cardiology,Respiratory,Government,2026.0,35,7.4,15,1,6,17.14,14,9,12,11,16
General Medicine,Endocrine,Self-Pay,2026.0,11,6.0,15,1,2,18.18,2,7,2,4,4
General Medicine,Endocrine,Private,2025.0,31,7.5,15,2,5,16.13,12,11,8,8,14
Neurology,Musculoskeletal,Self-Pay,2024.0,24,8.1,15,1,4,16.67,8,15,1,5,16
Neurology,Endocrine,Private,2025.0,27,7.6,15,1,4,14.81,4,10,13,6,15
Neurology,Endocrine,Private,2023.0,22,8.0,15,1,1,4.55,10,8,4,5,11
